,Question
123193,"He won't be crying the ""Tears Of A Clown"" since he made No. 20 on the list"
63462,"<a href=""http://www.j-archive.com/media/2007-09-14_J_15.jpg"" target=""_blank"">This</a> Asian-named cat is produced by mating Siamese and longhairs, and then selectively breeding them"
119230,"I played Dr. O'Dell in this ""Rich Man, Poor Man"" sequel that's about coping with the loss of a brother"
159435,"W.E.B. Du Bois wrote, ""The problem of the twentieth century is the problem of"" this ""line"""
112144,"433 Eros, one of these, will pass within .178 astronomical units of Earth (that's close, astronomical units-wise)"
80562,"""M*A*S*H"" role played by Elliot Gould on film & by Wayne Rogers on TV"
33328,"Simon Bolivar was born in Venezuela & died in Santa Marta, in this country on Venezuela's west border"
27506,These heroic champions of chivalry share their name with a 1950s Richard Boone TV character
61071,"Seen here, he's an environmental law professor at Pace University in New York & a lawyer with the conservation group Riverkeeper"
111709,"<a href=""http://www.j-archive.com/media/2006-02-01_DJ_07.mp3"">Mon Dieu!  Zees man has been ze French chief of state for 10 full years!</a>"
32054,From April to August 1958 the U.S. conducted 22 of these on Enewetak Atoll to get them in before a ban took effect
87887,"It's the weakest of the 4 basic forces, but it's strong enough to keep the moon orbiting the Earth"
154225,In India the tail of this wild ox is used to swat flies
55519,1937: German planes bomb Almeria
14636,Private 4-year women's college located at 3009 Broadway in Manhattan
160890,"On a 1984 TV special, Carol Burnett sang ""Be A Clown"" & Placido sang an aria from this clown opera"
206581,"This recitation from ""The Wizard of Oz"" lists 3 banned items, oh my!"
32276,"Halloween's origins are in Samhain, a festival celebrated by these people of ancient Britain & Ireland"
195436,1 less than a cinquefoil
72340,"Its source is in southern Burundi; from there it flows a long, long way north"
85566,A savage named John has educated himself by reading Shakespeare in this futuristic novel by Aldous Huxley
185785,In the 1600s his findings like the phases of Venus made this Italian think maybe the sun is what stuff revolves around
132624,"Hours before she won her Oscar, she agreed to return to ""Mad About You"", for $1 million an episode"
210714,"""The Third Man"""
114008,"To be stumped, sticky wicket"
153883,Europe: Queen Margrethe II
11296,This zodiac constellation appears to be pouring water on the sculptor constellation below it
35524,"""This Land Is Your Land"" is a famous song written by this man, a major influence on folk & rock"
23004,Tattooed twins Benji & Joel Madden front this band
84342,To cut oneself slightly while shaving
63839,"In ""Little Women"", Margaret is better-known by this nickname"
21694,Frank Whittle designed this type of propulsion in a thesis paper while at the RAF College in 1928
150899,Celebrity seen here: (hair of a famous boxing promoter)
190499,"In September 2002 she set a Billboard record with her first-ever single, jumping from its debut at No. 52 to No. 1"
198959,"In Australia, this soft, furry critter is sometimes called a native bear"
84925,"(<a href=""http://www.j-archive.com/media/2008-11-06_DJ_20.jpg"" target=""_blank"">Ken Burns reads.</a>)  There were more than 20,000 Confederate & Union casualties at <a href=""http://www.j-archive.com/media/2008-11-06_DJ_20a.jpg"" target=""_blank"">this</a> Tennessee <a href=""http://www.j-archive.com/media/2008-11-06_DJ_20b.jpg"" target=""_blank"">battle</a> whose name means ""place of peace"" in Hebrew"
210478,Akron lies on this river famous for catching fire at Cleveland
215470,"A body at rest stays at rest, F=ma & reaction is always equal & opposite in action"
64700,People born under this sign of the fishes are known for their generosity
21821,"Middle initial shared by ""Star Trek""'s captain James Kirk & Phineas Barnum"
215207,"According to lyricist Bob Merrill, ""People who need people are"" this"
38634,"When visiting one, a citizen might pass thru the frigidarium, the tepidaria & the calidarium"
166821,Tired of eating Special K from a bowl?  It also comes in the form of these round waffles from Kellogg's
214040,"On the banks of India's Yamuna River, it was dedicated in 1931"
98482,1 of the men who shot her realized when he saw her body that she'd often waited on him at a cafe in Dallas
3490,"Named for an adviser to Catherine the Great, this type of ""village"" looks deceptively impressive"
89171,"Diego Rivera created a mural called ""Creation"" for the National Preparatory School in this capital city"
56262,This man is Number 1 with $53 billion; just turn on any computer if you need a clue
128309,"In 1967 Aretha Franklin proved she could S-P-E-L-L with this song, one of the biggest solo hits of her career"
98649,"In 1865 he said, ""Whenever I hear someone arguing for slavery, I feel a strong impulse to see it tried on him personally"""
100771,"Peter Sellers had 3 roles in this film, U.S. President Merkin Muffley, Captain Lionel Mandrake & this title character"
129817,Paul Schrader said he was lonely when he wrote this movie starring Robert De Niro as loner Travis Bickle
146754,Luck; you need it for a game of it
36193,"In 1711 & 1712 this collaborator of Richard Steele wrote 274 essays for ""The Spectator"""
58321,"The Pollitt family plantation is overrun by ""no-neck monsters"" in this Tennesee Williams play"
133252,"(<a href=""http://www.j-archive.com/media/2008-03-04_DJ_24.jpg"" target=""_blank"">Jon of the Clue Crew wriggles through a small cave opening at Carlsbad Caverns Nat'l Park, New Mexico.</a>)  Carlsbad is part of an ancient one of these structures, on the edge of an inland sea; it was mostly formed by the remains of algae & sponges, not coral"
190970,"Originally planned for Charles Laughton & Elsa Lanchester in the 1930s, it was later made with Bogart & Hepburn"
18675,"It's what the ""t"" stands for in tRNA"
117755,"This European mountain chain is populated by Catalans, Bearnais & Andorrans"
150050,"To make the popular Mexican dish frijoles negros, begin with these beans"
76594,An ambulance worker: EMT
184135,This British car maker developed from a company that made motorcycle sidecars
158748,"(<a href=""http://www.j-archive.com/media/2006-05-25_J_27.jpg"" target=""_blank"">Jon of the Clue Crew stands in front of a diagram of the new food pyramid.</a>)  On the new USDA food pyramid, a reminder to exercise is next to this important group that includes cereals & popcorn"
18852,"The nation's 42nd Vice President, he was born in Ceylon... Ceylon, Minnesota, that is"
149926,"""Hey There!""  It's the 1966 film that made Lynn Redgrave a star"
202237,Don't venture up the creek without this synonym for a paddle
130920,"Crown self Czar in 1547, divorce 2 wives, have one killed, believe 3 to be poisoned by enemies, have last one outlive you"
81040,"""This follow-up to 'The Articles of Confederation' is the rare sequel that's more bicameral than the original!"""
62829,"(<a href=""http://www.j-archive.com/media/2005-04-05_DJ_21.jpg"" target=""_blank"">Sarah of the Clue Crew sits in a bobsled in Park City, UT.</a>)  In some curves, bobsleds can reach speeds of 80-90 mph & 4 of these forces"
16324,To perform a veronica in this sport requires you to have a cape to wave
180393,This sport's Tracy Caulkins won the Honda Broderick Cup twice for being the NCAA's top woman athlete
80645,"Art: ""Madonna"" & this masterpiece by Edvard Munch were stole in broad daylight in 2004"
32185,"This author of ""The Good Earth"" wrote 5 books using the pseudonym John Sedges"
201527,"Easily seen below the equator, the constellation Crux is popularly known by this name"
185013,"With 22 enemy planes shot down, Eddie Rickenbacker was the USA's No.1 flying ace during this war"
146798,"In 1827 chemist John Walker ""struck"" gold by inventing the first friction ones of these; smokers really liked them"
189444,"""City of the apostles, mother & guide of the elect, light of the nations and hope of the world"""
148341,"This 1946 film was based in part on the story ""The Greatest Gift"""
47406,"Before it was an Allen Funt TV show, it meant an unposed style of photography"
13473,A 1965 Nobel was for this type of electrodynamics & its impact on the physics of elementary particles
178806,"A 1935 act of Congress gave this agency, the ICC, authority over motor carriers & drivers"
77074,"In the 19th century the ivory imported from Africa into Ivoryton, Connecticut was exported mainly as these"
208970,Passer domesticus is the house type of this small bird
203656,The quarter for this state features a race horse; we can't tell if it's standing on bluegrass
3086,The Gehry-designed Nationale Nederlanden Building is informally known as this film dancing pair
154459,"At closing time, females with this name can prepare to hear the old Irish song ""I'll Take You Home Again..."""
89625,"This enigmatic feline ""only grinned when it saw Alice... still it had very long claws and a great many teeth"""
92734,"Virginia Woolf won no Pulitzers, but ""Mrs. Dalloway"" resonates in 3 different stories & decades in this novel"
40409,This supersonic airliner can shuttle you from Paris to New York City in less than 4 hours
